Date,Ticker,% Return,High,Low,Open,Close,High %,Low %
04/04/2014,CSLT,-0.055604203,22.969999,20.030001,22.84,21.57,0.005691725,-0.123029729
04/04/2014,BKS,-0.046413452,19.100001,18.07,18.959999,18.08,0.007384072,-0.046940878
04/04/2014,GIMO,-0.000756467,27.02,26,26.440001,26.42,0.021936421,-0.01664149
07/04/2014,UA,-0.023714267,105.5,100.650002,105,102.510002,0.004761905,-0.041428552
07/04/2014,ECOM,-0.019760317,31.870001,30.139999,30.870001,30.26,0.032393909,-0.023647618
07/04/2014,MVNR,0.00200267,15.08,14.12,14.98,15.01,0.006675567,-0.05740988
07/04/2014,GBL,0.006081041,75.559998,72.199997,74,74.449997,0.021081054,-0.024324365
07/04/2014,COUP,0.008399209,20.68,20,20.24,20.41,0.02173913,-0.011857708
08/04/2014,WWE,-0.0730384,24.049999,22.040001,23.959999,22.209999,0.003756261,-0.080133476
08/04/2014,PBYI,-0.062057743,89.220001,77.050003,86.209999,80.860001,0.034914767,-0.10625213
08/04/2014,LXFT,-0.020564824,33.07,31.57,32.580002,31.91,0.015039839,-0.031000673
09/04/2014,GIMO,-0.027103277,17.969999,17.139999,17.709999,17.23,0.014680972,-0.032185208
09/04/2014,QTWO,-0.005714286,14,13.2,14,13.92,0,-0.057142857
09/04/2014,KODK,-0.004546963,31.57,30.49,30.790001,30.65,0.025332867,-0.009743455
09/04/2014,VJET,0.006103334,22.299999,20.700001,21.299999,21.43,0.046948359,-0.028168922
09/04/2014,NAT,0.008196488,8.699999,8.530001,8.539999,8.609997,0.018735365,-0.001170726
10/04/2014,HVT,-0.030769192,26.139999,25.17,26,25.200001,0.005384577,-0.031923077
10/04/2014,WLT,-0.011523688,7.83,7.5,7.81,7.72,0.002560819,-0.039692702
11/04/2014,VJET,-0.05210295,16.33,15.01,15.93,15.1,0.025109856,-0.057752668
11/04/2014,NPTN,-0.019117647,6.84,6.4,6.8,6.67,0.005882353,-0.058823529
11/04/2014,IMPV,-0.003544771,29.1,27.66,28.209999,28.110001,0.031549133,-0.019496598
11/04/2014,GRUB,0.092917411,34.470001,29.860001,30.780001,33.639999,0.119883037,-0.029889538
14/04/2014,NQ,-0.098694943,12.8,9.65,12.26,11.05,0.044045677,-0.212887439
14/04/2014,VJET,-0.080769231,15.6,14.14,15.6,14.34,0,-0.093589744
14/04/2014,JCP,-0.042767296,7.98,7.53,7.95,7.61,0.003773585,-0.052830189
14/04/2014,RCAP,0.013838718,34.439999,32.139999,33.240002,33.700001,0.036100991,-0.033092748
14/04/2014,HLF,0.018764254,56.560001,52.529999,52.759998,53.75,0.07202432,-0.004359344
15/04/2014,MLP,-0.02375,8.09,7.62,8,7.81,0.01125,-0.0475
15/04/2014,GIMO,-0.01121372,15.39,14.75,15.16,14.99,0.015171504,-0.027044855
15/04/2014,TAOM,0.026168224,5.5,5.31,5.35,5.49,0.028037383,-0.007476636
15/04/2014,NQ,0.146496815,12.83,10.56,10.99,12.6,0.167424932,-0.039126479
16/04/2014,BCO,-0.010144284,25.700001,24.799999,25.629999,25.370001,0.002731253,-0.032383926
16/04/2014,HGG,0.00250941,8.18,7.67,7.97,7.99,0.026348808,-0.037641154
16/04/2014,CHGG,0.013232514,5.44,5.24,5.29,5.36,0.028355388,-0.009451796
16/04/2014,PBY,0.018609207,10.61,10.18,10.21,10.4,0.039177277,-0.002938296
16/04/2014,ATHM,0.08924199,35.939999,32.720001,32.720001,35.639999,0.098410694,0
17/04/2014,CSH,-0.018064494,45.230003,43.929996,44.840004,44.029992,0.008697568,-0.020294557
17/04/2014,AUY,-0.011180124,8.13,7.93,8.05,7.96,0.009937888,-0.014906832
17/04/2014,COUP,-0.004123711,19.639999,18.75,19.4,19.32,0.012371082,-0.033505155
17/04/2014,AEM,0.004600106,29.120001,27.98,28.26,28.389999,0.030431741,-0.009907997
21/04/2014,CMG,-0.029095996,522,505.700012,521.719971,506.540009,0.000536742,-0.030706049
21/04/2014,ADS,-0.005740526,246.169998,242.020004,245.619995,244.210007,0.002239244,-0.014656751
21/04/2014,BKS,0.001219573,16.7,16.090001,16.4,16.420001,0.018292683,-0.018902378
21/04/2014,CHMT,0.021129753,24.01,23.190001,23.190001,23.68,0.035360024,0
22/04/2014,CSLT,-0.072062136,18.219999,16.68,18.040001,16.74,0.009977716,-0.075388078
22/04/2014,GDOT,-0.022624378,17.82,17.200001,17.68,17.280001,0.007918552,-0.027149265
22/04/2014,GRUB,-0.022023722,33.950001,31.950001,33.599998,32.860001,0.010416757,-0.049107056
23/04/2014,CSLT,-0.060442792,16.75,15.51,16.709999,15.7,0.002393836,-0.07181323
23/04/2014,PHG,-0.006756787,32.599998,32.209999,32.560001,32.34,0.001228409,-0.010749447
23/04/2014,LXK,0.015440265,42.490002,41.240002,41.450001,42.09,0.025090494,-0.005066321
23/04/2014,PNR,0.026908906,76.010002,73.18,73.209999,75.18,0.038246183,-0.000409766
24/04/2014,PZN,-0.01710171,11.35,10.8,11.11,10.92,0.02160216,-0.02790279
24/04/2014,UIS,-0.012795734,25.790001,25.25,25.790001,25.459999,0,-0.020938386
24/04/2014,IGT,-0.002369668,12.8,12.41,12.66,12.63,0.011058452,-0.019747235
24/04/2014,VMW,0,96.82,94.760002,96.440002,96.440002,0.003940253,-0.017420157
25/04/2014,MYE,-0.040904762,21.280001,19.889999,20.780001,19.93,0.024061597,-0.042829738
