Date,Ticker,% Return,High,Low,Open,Close,Low %,High %
12/03/2014,EMES,-0.014515457,50.98,49.5,50.98,50.240002,-0.029030993,0
12/03/2014,MED,-0.008239738,27.120001,26.16,26.700001,26.48,-0.020224756,0.015730336
12/03/2014,RCAP,-0.002823862,28.91,26.93,28.33,28.25,-0.049417579,0.020472997
12/03/2014,POWR,0.005191653,25.6,24.709999,25.040001,25.17,-0.013178993,0.022364176
12/03/2014,BYD,0.024871982,14.58,13.37,13.67,14.01,-0.021945867,0.066569129
13/03/2014,ARL,-0.059615385,10.46,9.64,10.4,9.78,-0.073076923,0.005769231
13/03/2014,XON,-0.046129032,31.110001,28.709999,31,29.57,-0.073871,0.003548419
13/03/2014,PAY,-0.024434448,34.029999,32.049999,33.150002,32.34,-0.033182592,0.026545911
13/03/2014,EPL,0.009296149,38.04,37.6,37.65,38,-0.001328021,0.010358566
14/03/2014,CBK,-0.018126888,6.7,6.48,6.62,6.5,-0.021148036,0.012084592
14/03/2014,WSM,-0.000309887,64.940002,63.93,64.529999,64.510002,-0.009297986,0.006353681
14/03/2014,PVG,0.00137931,7.49,7.06,7.25,7.26,-0.026206897,0.033103448
14/03/2014,PPP,0.024967148,7.87,7.55,7.61,7.8,-0.007884363,0.034165572
14/03/2014,CPE,0.036101083,8.7,8.12,8.31,8.61,-0.022864019,0.046931408
17/03/2014,CSLT,-0.06875,40.400002,37.07,40,37.25,-0.07325,0.01000005
17/03/2014,EGY,-0.041841004,7.28,6.65,7.17,6.87,-0.072524407,0.015341702
17/03/2014,CKP,-0.031424581,14.43,13.77,14.32,13.87,-0.038407821,0.007681564
17/03/2014,RCAP,-0.005230708,33.400002,31.99,32.5,32.330002,-0.015692308,0.027692369
18/03/2014,COUP,-0.009757706,30.49,28.709999,29.719999,29.43,-0.03398385,0.025908514
18/03/2014,SGK,0.00551655,20.12,19.7,19.94,20.05,-0.012036108,0.009027081
18/03/2014,NQ,0.010380672,20.85,19.84,20.23,20.440001,-0.0192783,0.030647553
18/03/2014,CCM,0.013563502,8.29,8.05,8.11,8.22,-0.007398274,0.022194821
19/03/2014,YUME,-0.061617458,7.95,7.3,7.79,7.31,-0.062901155,0.020539153
19/03/2014,FDS,-0.038299694,114.529999,109.150002,114.099998,109.730003,-0.043382963,0.003768633
19/03/2014,FF,0.012048193,22.25,20.75,20.75,21,0,0.072289157
19/03/2014,PVA,0.041290258,16.5,15.33,15.5,16.139999,-0.010967742,0.064516129
20/03/2014,MMI,-0.019188651,18.51,17.75,18.24,17.889999,-0.026864035,0.014802632
20/03/2014,ONE,-0.009975062,8.15,7.9,8.02,7.94,-0.014962594,0.016209476
21/03/2014,GCA,-0.009478673,8.59,8.24,8.44,8.36,-0.023696682,0.017772512
21/03/2014,BURL,0.043046323,32.549999,29.99,30.200001,31.5,-0.006953675,0.077814501
21/03/2014,QTWO,0.044689054,16.370001,15.22,15.44,16.129999,-0.014248705,0.060233225
24/03/2014,YZC,-0.020382166,7.9,7.64,7.85,7.69,-0.026751592,0.006369427
24/03/2014,AMBR,-0.010047281,17.15,16.360001,16.92,16.75,-0.033096868,0.013593381
24/03/2014,LIN,0.022605364,26.8662,26.07,26.1,26.69,-0.001149425,0.029356322
25/03/2014,NUS,-0.024475591,89.5,84.470001,88.660004,86.489998,-0.047259224,0.009474351
25/03/2014,MILL,-0.013722127,6.04,5.67,5.83,5.75,-0.027444254,0.036020583
25/03/2014,SPLP,-0.000588235,17.040001,16.84,17,16.99,-0.009411765,0.002353
25/03/2014,RCAP,0.004671533,35.029999,33.98,34.25,34.41,-0.007883212,0.022773693
25/03/2014,USNA,0.005743955,74.110001,72.099998,73.120003,73.540001,-0.01394974,0.013539359
26/03/2014,VCRA,-0.053500341,17.65,16.57,17.57,16.629999,-0.056915196,0.004553216
26/03/2014,COUP,-0.040169913,26.389999,24.51,25.889999,24.85,-0.053302397,0.019312477
26/03/2014,LXU,-0.033880049,37.439999,35.900002,37.189999,35.93,-0.034686664,0.006722237
26/03/2014,NC,-0.014193548,54.459999,52.650002,54.25,53.48,-0.029493051,0.003870949
27/03/2014,XUE,-0.033628319,5.65,5.41,5.65,5.46,-0.042477876,0
27/03/2014,RCAP,-0.010540514,37.490002,35.549999,37,36.610001,-0.039189216,0.013243297
27/03/2014,MOV,-0.007775378,47.630001,45.470001,46.299999,45.939999,-0.017926523,0.028725746
27/03/2014,SCS,-0.002450919,16.82,16.26,16.32,16.280001,-0.003676471,0.030637255
27/03/2014,NORD,0.10629915,19.91,17.780001,17.780001,19.67,0,0.119797462
28/03/2014,EDN,-0.034482759,7.5,6.9,7.25,7,-0.048275862,0.034482759
28/03/2014,PAM,-0.026362039,6.09,5.44,5.69,5.54,-0.043936731,0.07029877
28/03/2014,TNET,0.071392663,22.84,19.790001,19.889999,21.309999,-0.005027552,0.148315794
31/03/2014,TNET,-0.0814656,23.440001,20.76,23.200001,21.309999,-0.105172452,0.010344827
31/03/2014,GME,0.00933195,41.57,40.23,40.720001,41.099998,-0.012033423,0.020874238
31/03/2014,RH,0.014195122,73.970001,72.010002,72.559998,73.589996,-0.007579879,0.019432236
31/03/2014,KODK,0.058637181,33.740002,31.360001,31.549999,33.400002,-0.006022124,0.069413726
01/04/2014,CWEI,-0.030634714,114.419998,109.510002,113.269997,109.800003,-0.033194977,0.010152742
01/04/2014,ONE,-0.016643551,7.32,6.87,7.21,7.09,-0.047156727,0.015256588
01/04/2014,NDZ,-0.000865801,11.56,11.5,11.55,11.54,-0.004329004,0.000865801
01/04/2014,EROS,0.007495253,16.34,15.76,16.01,16.129999,-0.01561524,0.020612117
02/04/2014,BITA,-0.042222198,40.82,38.419998,40.5,38.790001,-0.051358074,0.007901235
02/04/2014,EPAM,-0.036468384,36.580002,35.009998,36.470001,35.139999,-0.040032985,0.003016205
02/04/2014,WUBA,-0.019379802,47,44,46.439999,45.540001,-0.052540893,0.012058592
02/04/2014,JKS,0.02236425,32.279999,30.58,31.299999,32,-0.023003164,0.031309905
02/04/2014,CSLT,0.041614122,24.860001,23.1,23.790001,24.780001,-0.029003824,0.044976879
03/04/2014,ANFI,-0.04700005,20.040001,18.58,20,19.059999,-0.071,0.00200005
03/04/2014,RUBI,-0.02791381,21.370001,19.530001,20.42,19.85,-0.043584672,0.046523066
04/04/2014,GOL,-0.038461538,5.8,5.48,5.72,5.5,-0.041958042,0.013986014
04/04/2014,K,-0.03276202,66.699997,63.59,65.93,63.77,-0.035492189,0.011679008
04/04/2014,APC,-0.010768468,103.5,99.809998,102.150002,101.050003,-0.022907528,0.013215839
04/04/2014,MLP,0.182894737,9.41,7.6,7.6,8.99,0,0.238157895
07/04/2014,OPWR,-0.042272085,22.92,21.35,22.709999,21.75,-0.059885472,0.009247072
07/04/2014,IMS,-0.021702128,23.5,22.82,23.5,22.99,-0.02893617,0
07/04/2014,SNX,-0.00708198,77.410004,75.349998,76.25,75.709999,-0.011803305,0.015213167
07/04/2014,GRUB,0.024131813,35.869999,33.060001,33.98,34.799999,-0.02707472,0.055620924
07/04/2014,MLP,0.038062284,9.21,8.61,8.67,9,-0.006920415,0.062283737
08/04/2014,PBR,-0.051124744,14.87,13.7,14.67,13.92,-0.066121336,0.013633265
08/04/2014,EDN,0.037131882,8.15,7.45,7.81,8.1,-0.04609475,0.043533931
08/04/2014,IRS,0.087939698,13.1,11.82,11.94,12.99,-0.010050251,0.097152429
09/04/2014,CUDA,-0.024570055,33.639999,31.17,32.560001,31.76,-0.042690447,0.033169471
09/04/2014,SA,-0.019753086,8.16,7.7,8.1,7.94,-0.049382716,0.007407407
09/04/2014,WUBA,0.084640173,48,43,43.360001,47.029999,-0.008302606,0.107011045
10/04/2014,DANG,-0.093535076,14.65,13.16,14.54,13.18,-0.094910591,0.007565337
10/04/2014,PBYI,-0.085017968,90.57,80.220001,89.040001,81.470001,-0.099056603,0.017183277
10/04/2014,GTN,-0.057167986,11.51,10.65,11.37,10.72,-0.063324538,0.012313105
10/04/2014,ATHL,-0.005548217,38.52,36.68,37.85,37.64,-0.030911493,0.017701453
11/04/2014,SHI,-0.000695169,28.959999,28.65,28.77,28.75,-0.004171011,0.006604067
11/04/2014,ACH,0.000986193,10.19,10.07,10.14,10.15,-0.006903353,0.004930966
11/04/2014,RT,0.013657056,6.81,6.51,6.59,6.68,-0.012139605,0.033383915
11/04/2014,CSH,0.023428532,44.499993,42.330002,43.109999,44.120003,-0.018093181,0.032242961
11/04/2014,RAD,0.046062407,7.25,6.73,6.73,7.04,0,0.077265973
14/04/2014,ZOES,-0.041618975,27.74,25.1,26.190001,25.1,-0.041618975,0.059182854
14/04/2014,EPAM,-0.039250668,33.84,31.23,33.630001,32.310001,-0.07136488,0.006244395
14/04/2014,EXAM,0.009852217,35.240002,34.330002,34.509998,34.849998,-0.005215764,0.021153406
14/04/2014,GRUB,0.03169008,36.560001,32.880001,34.080002,35.16,-0.035211295,0.072769919
15/04/2014,EW,-0.007378246,81.889999,78.089996,81.32,80.720001,-0.039719675,0.007009333
15/04/2014,KOP,-0.003412147,44.369999,42.52,43.959999,43.810001,-0.03275703,0.009326661
15/04/2014,AHL,0.005008013,44.310001,43.549999,43.93,44.150002,-0.008650148,0.008650148
15/04/2014,GDP,0.015859809,25.07,23.76,23.959999,24.34,-0.008347204,0.046327256
16/04/2014,NQ,-0.041438624,13.04,11.65,12.79,12.26,-0.089132134,0.019546521
16/04/2014,TWTR,-0.022016734,45.560001,43.540001,45.419998,44.419998,-0.041391393,0.003082409
16/04/2014,WDAY,-0.009576098,79.449997,75.5,78.32,77.57,-0.036006129,0.014427949
16/04/2014,CSLT,0.050991445,19.200001,17.65,17.65,18.549999,0,0.087818754
17/04/2014,ZOES,-0.033610602,31.43,27.610001,28.860001,27.889999,-0.043312542,0.089050551
